fu,compression_type,distortion_level,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,mos
data/CVIQ/013.png,AVC,2,data/view_ports/013/013_fov1.png,data/view_ports/013/013_fov2.png,data/view_ports/013/013_fov3.png,data/view_ports/013/013_fov4.png,data/view_ports/013/013_fov5.png,data/view_ports/013/013_fov6.png,data/view_ports/013/013_fov7.png,data/view_ports/013/013_fov8.png,data/view_ports/013/013_fov9.png,data/view_ports/013/013_fov10.png,data/view_ports/013/013_fov11.png,data/view_ports/013/013_fov12.png,data/view_ports/013/013_fov13.png,data/view_ports/013/013_fov14.png,data/view_ports/013/013_fov15.png,data/view_ports/013/013_fov16.png,data/view_ports/013/013_fov17.png,data/view_ports/013/013_fov18.png,data/view_ports/013/013_fov19.png,data/view_ports/013/013_fov20.png,64.81936069
data/CVIQ/014.png,AVC,3,data/view_ports/014/014_fov1.png,data/view_ports/014/014_fov2.png,data/view_ports/014/014_fov3.png,data/view_ports/014/014_fov4.png,data/view_ports/014/014_fov5.png,data/view_ports/014/014_fov6.png,data/view_ports/014/014_fov7.png,data/view_ports/014/014_fov8.png,data/view_ports/014/014_fov9.png,data/view_ports/014/014_fov10.png,data/view_ports/014/014_fov11.png,data/view_ports/014/014_fov12.png,data/view_ports/014/014_fov13.png,data/view_ports/014/014_fov14.png,data/view_ports/014/014_fov15.png,data/view_ports/014/014_fov16.png,data/view_ports/014/014_fov17.png,data/view_ports/014/014_fov18.png,data/view_ports/014/014_fov19.png,data/view_ports/014/014_fov20.png,58.49544699
data/CVIQ/015.png,AVC,4,data/view_ports/015/015_fov1.png,data/view_ports/015/015_fov2.png,data/view_ports/015/015_fov3.png,data/view_ports/015/015_fov4.png,data/view_ports/015/015_fov5.png,data/view_ports/015/015_fov6.png,data/view_ports/015/015_fov7.png,data/view_ports/015/015_fov8.png,data/view_ports/015/015_fov9.png,data/view_ports/015/015_fov10.png,data/view_ports/015/015_fov11.png,data/view_ports/015/015_fov12.png,data/view_ports/015/015_fov13.png,data/view_ports/015/015_fov14.png,data/view_ports/015/015_fov15.png,data/view_ports/015/015_fov16.png,data/view_ports/015/015_fov17.png,data/view_ports/015/015_fov18.png,data/view_ports/015/015_fov19.png,data/view_ports/015/015_fov20.png,55.96017652
data/CVIQ/016.png,AVC,5,data/view_ports/016/016_fov1.png,data/view_ports/016/016_fov2.png,data/view_ports/016/016_fov3.png,data/view_ports/016/016_fov4.png,data/view_ports/016/016_fov5.png,data/view_ports/016/016_fov6.png,data/view_ports/016/016_fov7.png,data/view_ports/016/016_fov8.png,data/view_ports/016/016_fov9.png,data/view_ports/016/016_fov10.png,data/view_ports/016/016_fov11.png,data/view_ports/016/016_fov12.png,data/view_ports/016/016_fov13.png,data/view_ports/016/016_fov14.png,data/view_ports/016/016_fov15.png,data/view_ports/016/016_fov16.png,data/view_ports/016/016_fov17.png,data/view_ports/016/016_fov18.png,data/view_ports/016/016_fov19.png,data/view_ports/016/016_fov20.png,49.93762322
data/CVIQ/017.png,AVC,6,data/view_ports/017/017_fov1.png,data/view_ports/017/017_fov2.png,data/view_ports/017/017_fov3.png,data/view_ports/017/017_fov4.png,data/view_ports/017/017_fov5.png,data/view_ports/017/017_fov6.png,data/view_ports/017/017_fov7.png,data/view_ports/017/017_fov8.png,data/view_ports/017/017_fov9.png,data/view_ports/017/017_fov10.png,data/view_ports/017/017_fov11.png,data/view_ports/017/017_fov12.png,data/view_ports/017/017_fov13.png,data/view_ports/017/017_fov14.png,data/view_ports/017/017_fov15.png,data/view_ports/017/017_fov16.png,data/view_ports/017/017_fov17.png,data/view_ports/017/017_fov18.png,data/view_ports/017/017_fov19.png,data/view_ports/017/017_fov20.png,43.01308051
data/CVIQ/018.png,AVC,7,data/view_ports/018/018_fov1.png,data/view_ports/018/018_fov2.png,data/view_ports/018/018_fov3.png,data/view_ports/018/018_fov4.png,data/view_ports/018/018_fov5.png,data/view_ports/018/018_fov6.png,data/view_ports/018/018_fov7.png,data/view_ports/018/018_fov8.png,data/view_ports/018/018_fov9.png,data/view_ports/018/018_fov10.png,data/view_ports/018/018_fov11.png,data/view_ports/018/018_fov12.png,data/view_ports/018/018_fov13.png,data/view_ports/018/018_fov14.png,data/view_ports/018/018_fov15.png,data/view_ports/018/018_fov16.png,data/view_ports/018/018_fov17.png,data/view_ports/018/018_fov18.png,data/view_ports/018/018_fov19.png,data/view_ports/018/018_fov20.png,40.81497281
data/CVIQ/019.png,AVC,8,data/view_ports/019/019_fov1.png,data/view_ports/019/019_fov2.png,data/view_ports/019/019_fov3.png,data/view_ports/019/019_fov4.png,data/view_ports/019/019_fov5.png,data/view_ports/019/019_fov6.png,data/view_ports/019/019_fov7.png,data/view_ports/019/019_fov8.png,data/view_ports/019/019_fov9.png,data/view_ports/019/019_fov10.png,data/view_ports/019/019_fov11.png,data/view_ports/019/019_fov12.png,data/view_ports/019/019_fov13.png,data/view_ports/019/019_fov14.png,data/view_ports/019/019_fov15.png,data/view_ports/019/019_fov16.png,data/view_ports/019/019_fov17.png,data/view_ports/019/019_fov18.png,data/view_ports/019/019_fov19.png,data/view_ports/019/019_fov20.png,37.60166114
data/CVIQ/020.png,AVC,9,data/view_ports/020/020_fov1.png,data/view_ports/020/020_fov2.png,data/view_ports/020/020_fov3.png,data/view_ports/020/020_fov4.png,data/view_ports/020/020_fov5.png,data/view_ports/020/020_fov6.png,data/view_ports/020/020_fov7.png,data/view_ports/020/020_fov8.png,data/view_ports/020/020_fov9.png,data/view_ports/020/020_fov10.png,data/view_ports/020/020_fov11.png,data/view_ports/020/020_fov12.png,data/view_ports/020/020_fov13.png,data/view_ports/020/020_fov14.png,data/view_ports/020/020_fov15.png,data/view_ports/020/020_fov16.png,data/view_ports/020/020_fov17.png,data/view_ports/020/020_fov18.png,data/view_ports/020/020_fov19.png,data/view_ports/020/020_fov20.png,33.54787978
data/CVIQ/021.png,AVC,10,data/view_ports/021/021_fov1.png,data/view_ports/021/021_fov2.png,data/view_ports/021/021_fov3.png,data/view_ports/021/021_fov4.png,data/view_ports/021/021_fov5.png,data/view_ports/021/021_fov6.png,data/view_ports/021/021_fov7.png,data/view_ports/021/021_fov8.png,data/view_ports/021/021_fov9.png,data/view_ports/021/021_fov10.png,data/view_ports/021/021_fov11.png,data/view_ports/021/021_fov12.png,data/view_ports/021/021_fov13.png,data/view_ports/021/021_fov14.png,data/view_ports/021/021_fov15.png,data/view_ports/021/021_fov16.png,data/view_ports/021/021_fov17.png,data/view_ports/021/021_fov18.png,data/view_ports/021/021_fov19.png,data/view_ports/021/021_fov20.png,28.68696963
data/CVIQ/022.png,AVC,11,data/view_ports/022/022_fov1.png,data/view_ports/022/022_fov2.png,data/view_ports/022/022_fov3.png,data/view_ports/022/022_fov4.png,data/view_ports/022/022_fov5.png,data/view_ports/022/022_fov6.png,data/view_ports/022/022_fov7.png,data/view_ports/022/022_fov8.png,data/view_ports/022/022_fov9.png,data/view_ports/022/022_fov10.png,data/view_ports/022/022_fov11.png,data/view_ports/022/022_fov12.png,data/view_ports/022/022_fov13.png,data/view_ports/022/022_fov14.png,data/view_ports/022/022_fov15.png,data/view_ports/022/022_fov16.png,data/view_ports/022/022_fov17.png,data/view_ports/022/022_fov18.png,data/view_ports/022/022_fov19.png,data/view_ports/022/022_fov20.png,25.52708486
